ID	種別	発見物名	ランク	説明	時代	ポイント	難易度	経験値	備考	最終更新日時	関連クエスト
3197	史跡	ウルグ・ベク天文台跡	3	学者たちを保護し、自身も天文学者であったサマルカンドの領主ウルグ・ベクによって建造された天文台。当時のイスラム世界において先進的な研究施設であった。						2017-09-18 02:13:50	5925:オアシス都市にある遺跡
1000	史跡	ウルル	5	オーストラリアの先住民アボリジニにウルルと呼ばれている、一枚岩でできた巨大な岩。アボリジニにとっては聖地である。ウルルには精霊が宿っていると考えられ、儀式の際は多くのアボリジニたちが集まる。		8	10	1027	砂漠の向こうの聖地	2015-01-27 02:09:17	1587:砂漠の向こうの聖地
2615	史跡	エピダウロス遺跡	5	ペロポネソス半島東部にある遺跡。ギリシャ神話の医療の神アスクレピオスの聖地といわれている。神殿の他に劇場や宿泊所、浴場の跡が残っている。中でも劇場は円形ステージを階段状の観覧席で囲んでおり、収容人数は1万人を超える。		8				2015-09-14 18:02:34	4970:医療の神の聖地
3072	史跡	エル・カズネ	5	ペトラ遺跡の王墓。盗賊が宝物を隠したという伝説から、宝物殿と呼ばれるようになったようだ。		9				2017-03-04 13:06:48	5801:探索すべきものは
3192	史跡	エルミナ城	3	アフリカとの交易を保護する、という目的でポルトガルにより建設された城。かの地は黄金海岸と称されるほどの金の産出量を誇り、この城も交易において大きな役割を果たしていた。						2017-09-02 15:33:38	5924:王族が築いた交易拠点
1001	史跡	オリンピア遺跡	1	多数の神殿や競技場がある古代ギリシャの遺跡。オリンピック競技が行われていたため、各種競技に関連する建造物が多い。		2	1	100	ゼウスに捧げる祭典	2015-01-27 02:09:17	183:ゼウスに捧げる祭典
3383	史跡	カーリバンガン遺跡	5	インド西部にあるインダス文明の都市遺跡。古代には流れていた大河の左岸に築かれた都市だったという。<br>焼きレンガを用いた区画が少なく、大半に日干しレンガを使っているのが、モヘンジョダロなどと大きく異なる点である。			8			2019-01-26 19:20:00	6272:いにしえの河をたどって
3237	史跡	カステル・デル・モンテ	2			3	3	240		2018-06-14 00:12:29	6061:城の使いみち
3336	史跡	カタ・ジュタ	2	地元の言葉で「多くの頭」という意味の岩山で、ウルルと同じく現地人たちの聖地の一つでもある。夜間にさまざまな儀式が行われており、罪人を罰する刑場としての役割も果たしているようだ。		7	10	370		2018-08-31 22:36:42	6192:先住民の聖域の地図
1002	史跡	カッパドキア	2	長い間、風雨にさらされた奇岩がそびえたつ地域。かつて迫害を避けた人々が岩をくりぬいて作った街が残っている。		3	5	350	奇岩の宗教都市	2015-01-27 02:09:17	408:奇岩の宗教都市
1003	史跡	カホキアの土塁	4	ミシシッピ川流域に住む人々が築いた、巨大な土塁。土塁の上には身分の高い人物が住んだといわれる。最大のもので、規模はおよそ縦300m、横250m、高さ30mにも及ぶ。		9	8	640	巨大な丘	2015-01-27 02:09:17	3014:巨大な丘
1004	史跡	カルタゴ遺跡	1	古代フェニキア人が造った都市国家の跡。第三次ポエニ戦争でローマに滅ぼされたといわれる。カエサルによって再建されたが、7世紀末に廃墟となった。		2	1	110	ポエニ戦争の爪跡	2015-01-27 02:09:17	281:ポエニ戦争の爪跡,5995:カルタゴの調査
1005	史跡	カルナック巨石群	1	先史時代の巨石群。4000を超える巨石が立ち並ぶが、なんのために並べたのか、まったく謎である。付近には巨石遺構が多く、墓のようなものもある。		3	1	95	列をなす巨石	2015-01-27 02:09:17	1055:列をなす巨石
1006	史跡	カンペチェ要塞	4	メキシコ湾に面する貿易港であるカンペチェに築かれた要塞。海賊の襲撃に対する防衛を目的としている。		6	7	680	カンペチェ湾の要塞	2015-01-27 02:09:17	3813:カンペチェ湾の要塞
1007	史跡	ガムラ・ウプサラ	4	ストックホルムより北に位置する地域名。<br>中世まで北欧の中心地として栄え、歴代のスウェーデン王の墳墓と居城があった。近くには北欧最古のウプサラ大学があり、グスタフ2世アドルフの右腕であるオクセンシェルナなどを輩出している。		7	8	750	戴冠の地<br><br>発見時経験値750　発見物カード経験値375	2016-06-07 16:55:07	3316:戴冠の地
3194	史跡	ギマランイス城	4	ポルトガルの初代国王であるアフォンソ一世が生まれ育った城。かつてギマラインスは修道院と集落しか存在しない土地だったが、北方のヴァイキングの襲撃と略奪から街を守るため、城が建造された。						2017-12-21 15:25:32	5937:独立を果たした王
3334	史跡	ギョベクリ・テペの石柱群	2	現地の言葉で「太鼓腹の丘」の意味を持つ遺構。巨大な石柱がいくつも円を描くように並べられており、動物のようなレリーフが彫られた石柱も時折見られる。かなり大昔のものと思われるが、誰が何のために造ったのかは分からない。		7	9	350		2018-08-31 01:30:44	6190:先史時代の史跡の地図
2975	史跡	ギルフ・ケビール	3	サハラ東部に位置する砂岩の台地。枯れ川がいくつも走っており、それに沿った岩壁には古代の人々が描いたとされる壁画が残されている。		4		460		2016-12-07 23:24:17	5659:国より大きな台地
1008	史跡	クスコ	5	インカ帝国中心都市。クスコとは現地の言葉で「へそ」という意味だという。滑らかで美しい巨石を幾重にも組んで作られ、その間には爪の先も入らないほどだ。この技術には目を見張るものがある。		10	11	520	アンデスにそびえる都<br><br>発見時経験値1040　発見物カード経験値520	2016-05-02 20:38:00	1852:アンデスにそびえる都
1009	史跡	クノッソス宮殿	4	古代クレタ文明の遺跡である。ギリシャ神話に登場する、ミノス王の居城跡。この宮殿の奥には、ミノタウロスがいたという迷宮「ラビュリントス」があったと伝えられる。		5	8	708	ラビュリントスの伝説	2015-01-27 02:09:17	318:ラビュリントスの伝説
1010	史跡	クリフ・パレス	2	北米の先住民であるアナサジ族が築いたとみられる集落の跡。巨大な岸壁をくり抜いて造られている。		6	6	260	岩窟遺跡の調査	2015-01-27 02:09:17	4803:岩窟遺跡の調査
2765	史跡	グイマーのピラミッド	5	カナリア諸島のテネリフェ島にある、長方形の階段状ピラミッド。積み上げられた石には加工が施されているが誰がなんの目的で作ったかは謎である。		10	11			2015-12-02 01:31:20	5373:謎のピラミッドの調査
1011	史跡	コパン遺跡	5	大雨による川の氾濫で発見された、マヤの大都市遺跡。他のマヤ遺跡には見られない独特の石像彫刻や壁画が見られ、彫刻技術の高さを感じさせる。		9	11	1040	街の奥にあったもの	2015-01-27 02:09:17	2280:街の奥にあったもの
1012	史跡	コロッセウム	3	古代ローマの帝政期に築かれた円形闘技場。四万人余りの観客を収容でき、幾度もの剣闘士競技が繰り広げられた場所である。皇帝・ネロの巨像（コロッスス）が近くにあったため、コロッセウムと呼ばれるようになったという。		6	6	470	古代遺跡と闘技場	2015-01-27 02:09:17	3166:古代遺跡と闘技場
1013	史跡	コンスタンティヌスの凱旋門	2	帝政ローマ時代、戦争後の凱旋記念のために作られた門。コンスタンティヌス帝が正帝のマクセンティウス帝の勝利を祝って、作ったといわれている。		4	4	330	つぎはぎの門	2015-01-27 02:09:17	3167:つぎはぎの門
3067	史跡	コンドアの岩絵群	5	数千年にわたり蓄積されてきた岩絵。赤い絵と白黒の絵があり、赤い絵のほうが、より古い時代に描かれたもののようだ。						2017-03-03 11:46:11	5794:岩絵からわかること
1015	史跡	サーペント・マウンド	5	北米東部にある、ヘビのような形をした丘。丘の周りは堀があり、陵墓のようでもあるが不明な部分も多い。<br>ヘビの形は星座に関係しているのかもしれない。		9	13	1120	丘か、陵墓か	2015-01-27 02:09:17	2967:丘か、陵墓か
1014	史跡	サットン・フー	4	ブリテン島の東部にある、古代の墓所。棺の代わりに、船の中に遺体を納めてある。船には多くの副葬品も備えられており、古代の生活を今に伝えている。		5	8	700	船の墓	2015-01-27 02:09:17	3413:船の墓
1016	史跡	ザナドゥ	5	モンゴル高原南部の都市。元朝の皇帝が建設し、夏の間、都として政務を行った。<br>『東方見聞録』では技術の粋を尽くした優美な都市と紹介され、多くの航海者の憧れの的となった。		10	15	1440	約束がくれた未来	2015-01-27 02:09:17	3631:約束がくれた未来
3196	史跡	シエガ・ベルデの岩絵遺跡群	2	ポルトガル北部のコア渓谷からイスパニア西部のシエガ・ベルデにかけて広がる遺跡。数千に及ぶ線刻画で動物や人などが描かれている。二万年前から存在していると見られ、この地域の野外にある古代の岩絵としては最大規模である。		9				2018-01-20 10:45:15	5939:岩に描かれた線
1017	史跡	ジョギンズの化石の崖群	4	不思議な石が多く見られる崖。もともとは、ただの石崖だったが、潮の浸食により、動物の骨が石化したものが多く見つかるようになった。		9	10	800	太古の崖	2015-01-27 02:09:17	2998:太古の崖
1018	史跡	ジンバブエ遺跡	2	アフリカ南方にある、石造の建造物群。ショナ語で「石の家」という意味で、モノモタパ王国の都であった。アフリカで石造建築物を持つ文化は珍しい。		3	4	260	大いなる石の家	2015-01-27 02:09:17	800:大いなる石の家
2916	史跡	スウェット・ロッジ	4	北米の先住民族の間で広く使用されている、儀式用の小屋。薬草の香りを含んだ蒸気で室内を満たし、心身の浄化を行う。						2016-08-05 15:17:43	5587:儀式の調査
2940	史跡	スヴァネティの塔	3	コーカサス山脈の谷間にある、スヴァネティ地方の村々で見られる不思議な塔。建てられた年代によって、形状が少しずつ異なる。		5	7		秘境に立つ塔	2016-10-05 01:21:41	5624:秘境に立つ塔
1019	史跡	セルメルミュート	5	グリーンランドで最も古く、最も大きな集落の跡。大きな遺構などはなく、一見すると単なる渓谷のようだ。		8	10	1050	グリーンランドの居住跡	2015-01-27 02:09:17	3740:グリーンランドの居住跡
2939	史跡	ターヌムの岩絵群	2	ターヌムスヘーデという街で発見された、岩石線画の刻まれた平面岩。青銅器時代から鉄器時代にかの地で暮らした、人々の生活をうかがい知ることができる貴重なもの。		3	5	360	太古の絵画	2016-10-16 11:09:11	5623:太古の絵画
1020	史跡	タオス・プエブロ	2	北米の先住民であるプエブロ民族が築いた集落。建物は赤褐色のレンガで造られ、複数の階を持つ。		6	6	360	積み重ねられたレンガの家	2015-01-27 02:09:17	3880:積み重ねられたレンガの家
2703	史跡	タッシリ・ナジェール	3	サハラの中央部にある台地状の山脈。侵食によってできた印象的な奇岩が並ぶ。洞窟内にはウシの群れやワニが描かれた岩がある。大昔の付近の様子を描いたと思われるが、現在の砂漠からは信じがたい風景である。		6				2015-09-14 12:55:04	5291:不思議な岩山
1021	史跡	チチェンイッツァ	4	ユカタン半島に花開いたマヤの遺跡。「チチェンイッツァ」とは、「泉のほとり」という意味らしい。非常に広大な土地に展開し、ピラミッド型神殿を中心に、聖なる泉、戦士の神殿、天文台などがある。		7	7	624	水のない文明	2015-01-27 02:09:17	1179:水のない文明
1022	史跡	チョガ・ザンビール	5	古代エラム人が築いた宗教的中心地の遺構。連結した壁で三層に仕切られており、その最も内側にはジッグラトが建てられている。保存状態がかなり良いという特徴がある。		8	11	1060	旧約聖書の逸話の元	2015-01-27 02:09:17	3384:旧約聖書の逸話の元
2735	史跡	ツォディロの岩絵	3	カラハリ砂漠の丘陵地帯にある岩に描かれた絵。非常に狭い範囲に鮮やかな数千もの絵が描かれており、この地の歴史を知る手がかりとなりそうだ。		4	6			2015-08-21 01:43:59	5322:聖地の岩絵
2617	史跡	ティリンス遺跡	2	ペロポネソス半島の東部にあるミケナイ文明の遺跡。分厚く強固な城壁には大きな石材が使われており、ギリシャ神話のサイクルロプスが積んだともいわれている。またヘラクレスヘラクレスの出生地という逸言もある。		3	4	280		2015-05-06 04:11:58	4975:ヘラクレスの出生地
1023	史跡	テノチティトラン	5	アステカ帝国の首都。テスココ湖の中心にある島に作られた都で、岸に向けて3本の橋が架かるさまは壮麗。コルテスも「あまりに広く美しいので半分しか報告しません」と報告書に記している。		10	10	1274	別世界	2015-01-27 02:09:17	1473:別世界
2481	史跡	テペ・ガウラ	4	古代メソポタミアの考古遺跡。新石器時代から高アッシリア時代まで、幅広の年代の住居が残っている。また、ギリシア建築やイタリア建築にみられる付け柱とアーキボルトで裝飾された世界最古の神殿がある。		8	10	760	ダ・ヴィンチ氏からのおつかい<br><br>発見時経験値760　発見物カード経験値380	2016-07-12 14:49:08	4850:ダ・ヴィンチ氏からのおつかい
2784	史跡	ディオニソス劇場	4	古代アテナイでディオニシア祭が開かれていた劇場。ディオニシア祭は悲劇の内容を競う祭りであったため、数多くのギリシャ悲劇がこの劇場で初めて上演された。						2015-12-06 23:20:02	5392:古代劇場の調査
1024	史跡	トゥウェイフルフォンテーン	5	西アフリカに位置する遺跡。2000点を超える線画が岩石に描かれている。主にゾウやキリンなどの動物が描かれており、中には人間の足型なども見られる。		9	10	970	岩壁の絵	2015-01-27 02:09:17	3264:岩壁の絵
2894	史跡	トゥルム遺跡	4	マヤ人が造った城塞都市の遺跡。<br>13世紀から15世紀の間に、貿易で繁栄したマヤ文明最後の都市のひとつである。				630	マヤ文明の港街	2016-06-19 16:36:18	5552:マヤ文明の港街
2658	史跡	トフェ	1	古代カルタゴの遺跡。<br>バアル・ハモン神やタニト神の聖域とされており、多数の墓石などが見つかってる。		2		200		2015-09-12 02:35:49	5246:聖地に関する風習
1025	史跡	トロイ考古学地区	5	ホメロス作の叙事詩「イリアス」で語られるトロイの遺跡。別名はイリオス。トロイの木馬でギリシャ軍に城内に進入され、滅んだと伝えられる。		6	10	1027	トロイ	2015-01-27 02:09:17	226:トロイ
3071	史跡	ドゥッガ	5	北アフリカに残るローマ、ビザンツ時代の遺跡。「防衛する」を意味する「トゥッガ」という言葉が名前の由来だとされる。神殿や浴場、劇場があった形跡もあり、当時の繁栄が窺える。						2017-03-03 16:02:19	5802:ローマとビザンツの遺跡
2487	史跡	ニネヴェ	4	アッシリア帝国が後期に首都を置いた都市。<br>アッシリア中の書物が集められたアッシュールバニパルの図書館があったといわれる。		9	10	881	王の図書館	2015-04-12 18:15:12	4844:王の図書館
2648	史跡	ヌラーゲ	2	サルデーニャ島に見られる巨大な建造物。大きな石を塔のような形状に積み上げて作られている。先史時代に作られ、その数は当時2万ほどであったと見られている。		2				2015-09-11 14:34:10	5224:奇妙な石塔
2500	史跡	ハトラ	2	パルティア帝国の要塞都市。100を超える防御塔を有する堅固な造りで、ローマ帝国の攻撃を幾たびも防いだ。また、要塞内の都市にはイスラムの神殿とギリシャ神殿が並び立っているという特徴がある。		4		300	神の家<br><br>発見時経験値300　発見物カード経験値150	2016-07-12 14:46:55	4837:神の家
1026	史跡	ハドリアヌスの長城	5	ローマ帝国の時代に、皇帝ハドリアヌスの命により築かれた防塁。帝国領土への、ケルト人の侵入を阻止することが目的とされる。<br>10年もの歳月をかけ、110km余りの距離にわたって建設された。		5	10	950	ローマ帝国の政策転換	2015-01-27 02:09:17	3318:ローマ帝国の政策転換
2906	史跡	バッファロー・ジャンプ	3	正式名称は「ヘッド・スマッシュト・イン・バッファロー・ジャンプ」。北米北西部にある崖。周辺の草原に生息するアメリカバイソン（バッファロー）を追い込んで狩る場所として、古来より利用されており、古い矢尻なども見つかっている。		4	4	490		2016-10-29 03:49:40	5586:地形を利用した狩り
1027	史跡	パフォス	1	キプロスの丘の上にある、古代ローマの遺跡である。建物跡やモザイクの壁画などが数多く残る。キプロスは、多くの文明が交錯した土地である。		2	2	135	美の女神に捧げられた街	2015-01-27 02:09:17	930:美の女神に捧げられた街
2586	史跡	パルテノン神殿	3	アテネにあるアクロポリスの丘に建てられた神殿。アテネの守護神である、女神アテナの聖域といわれている。白大理石を使用したパルテノン神殿には、細部の装飾が美しい古代ギリシャの建築様式が用いられている。		4				2015-09-14 16:59:02	4954:もうひとつのアテナ神殿
1028	史跡	パレンケ	5	深い森の中にたたずむマヤの古い遺跡。中心部にある宮殿のような建物の向かいには、なにやら壁にびっしりと刻まれた神殿がある。これを解読できれば、マヤについて深く知ることができるかもしれない。		9	12	1183	星の戦争	2015-01-27 02:09:17	1165:星の戦争
3328	史跡	ヒエラポリス・パムッカレ	5	古代ローマの都市のひとつであったヒエラポリスの遺跡。ローマより前に栄えたペルガモン王国の時代から温泉地として名高い一方で共同墓地も数多く存在している。アポロン神殿の近くに「冥王の門」と呼ばれる洞窟があるという。		9	11	990		2018-08-29 21:06:21	6175:冥府につながる街
1029	史跡	ビブロス	1	古代の砦や街の遺跡。幾度も支配勢力が交替したため、複数の文明の遺構が複雑に重なり合っている。		2	2	135	宝物の要塞	2015-01-27 02:09:17	971:宝物の要塞
1030	史跡	フォロ・ロマーノ	3	古代ローマの政治・経済・宗教の中心地だったとされる遺跡。広場や議事堂、神殿などの遺構が並び、隆盛を極めた古代ローマの有様をうかがい知れる。		5	7	540	古代遺跡の歩き方	2015-01-27 02:09:17	3156:古代遺跡の歩き方
2657	史跡	フォロの浴場	1	古代ローマの都市であるポンペイにあった公共の浴場。脱衣場やさまざまな温度の浴室が設けられている。		1	1	170		2015-05-24 13:33:53	5228:ポンペイ遺跡の追加調査
1031	史跡	フマナ平原	5	南米大陸の中腹、アンデス山脈の西側の裾野にある高原。砂漠が広がっており、ところどころにくぼみがある。なにやらただのくぼみではなさそうだが…。		9	11	1030	未開の土地の妙なもの	2015-01-27 02:09:17	1826:未開の土地の妙なもの
3004	史跡	プスカリニ池	4	釈迦の生誕地とされるルンビニにある池。釈迦はこの池で沐浴をした生母の脇の下から生まれ、産湯にはこの池の水が使われたと伝えられている。		6	6			2017-02-08 23:53:28	5694:釈迦の生まれた地
3180	史跡	プラハのオルロイ	2	神聖ローマ帝国の古都プラハで造られた天文時計。当時の天文学者たちの間で使用されていた天体測定機器（アストロラーベ）の機能と時計としての機能を併せ持っており、時間だけでなく太陽や月の位置までわかる。						2017-08-29 18:04:47	5929:学識欲を満たすために
2760	史跡	プント国のレリーフ	4	プント国は、古代エジプトと同時代にあった国で金や香料、木材などの交易で栄えていたという。レリーフにはハトシェプスト女王が送り出したとされる船団が描かれている。		5	9	360		2015-12-01 21:47:50	5367:変わったレリーフ
1032	史跡	ヘイアウ	1	積み石で囲んだ一帯で聖域とされる。ハワイ島の随所に散在する。精霊や神々への祈りを捧げる場所であるらしく、祭神によって呼び方も異なる。		3	8	182	石囲いの聖地<br><br>発見時経験値182　発見物カード経験値91	2016-07-25 19:58:42	3577:石囲いの聖地
2962	史跡	ベニ・ハンマードの城塞	4	ハンマード朝の始祖が建造したという城塞都市。すでに廃墟と化して長いが、いまだ多くの史跡が残っている。		6		630		2016-12-06 16:46:22	5649:滅びた王朝
3368	史跡	ベルレンガの要塞	1	リスボンの北にあるベルレンガ・グランデ島に建てられた砦。正式名は「サン・ジョアン・バプティスタ要塞」という。海上防衛のために修道院の遺構を利用して築かれ、しばしばバルバリア海賊などの標的となった。		1	1	110		2019-01-22 23:22:57	6256:防衛拠点の地図
1033	史跡	ペルセポリス遺跡	2	アケメネス朝ペルシャのダレイオス1世が着工した、ペルシャの大宮殿跡。広大な敷地に多数の石柱や独特の石像、すばらしいレリーフが残る。		2	3	220	古代ペルシャの大宮殿	2015-01-27 02:09:17	548:古代ペルシャの大宮殿
1034	史跡	ボイン渓谷遺跡群	2	アイルランドにある、先史時代の遺跡群。緻密な石組みの墳墓が並ぶ。奥の墓室には冬至の前後数日のみ、朝日が差し込む。		3	4	250	アイルランドの遺跡	2015-01-27 02:09:17	1:アイルランドの遺跡
2488	史跡	ボルシッパ	3	シュメール文明の古代都で、名前は「海の角」という意味。「舌の塔」と呼ばれる大規模なジッグラトの遺跡があり、バベルの塔の遺跡であると考えられている。	紀元前	6	8	530	海の角	2015-05-06 22:55:51	4863:海の角
1035	史跡	ポンペイ遺跡	1	ヴェスヴィオ火山の大噴火によって一瞬で滅びた、古代ローマの都市。火山灰に埋もれていたため当時の生活の様子が生々しく残る。		2	1	100	埋もれたローマ遺跡	2015-01-27 02:09:17	1009:埋もれたローマ遺跡
3342	史跡	マダラの騎士像	4	ブルガリア北東部にある、マダラ高原の崖に刻まれた巨大なレリーフ。周りに足場のない高さに刻まれているという特色がある。周囲に古いギリシャ語の銘文があるため、かつてこの地を支配したブルガール人が作ったという説がある。		5	8	630	草原の民の足跡	2018-10-20 00:31:51	6202:草原の民の足跡
1036	史跡	マチュピチュ	5	高い峰々に囲まれたインカ帝国の都市。ケチュア語で「老いた峰」を意味する。段々畑や居住区、神殿などが計画的に配置され、インカの高度な建築技術がうかがえる。		10	12	1200	儀式の場所<br><br>発見時経験値1200　発見物カード経験値600	2016-05-03 10:05:24	1850:儀式の場所
2616	史跡	ミュケナイ遺跡	4	ペロポネソス半島の北東部にある遺跡。紀元前に栄えていた、ミュケナイ文明の中心地。数々の黄金細工が発見されており、当時は金がよく利用されていたとみられる。		7				2015-09-13 16:38:43	4972:黄金に富む伝説の都
2988	史跡	ムスタンの洞窟群	5	ネパール地方の、とある断崖に掘られた謎の洞窟群。仏教壁画が存在し、宗教的施設だった可能性がある。しかしいまだ解明されていない謎も多く、なんのために掘られたのかを断定することはできない。		8		1100	2017.02.07新規追加	2017-02-07 22:16:36	5695:断崖の洞窟
3335	史跡	ムティジュルの泉	5	ウルルのふもとにある池で、岩山から伝ってくる雨水によって、決して涸れることがないという。クニヤという名のニシキヘビの祖先が虹色の蛇に姿を変えて、今もなお池に棲むという伝承が現地人たちの間に残っている。		8	12	1110		2018-08-31 22:02:03	6191:不滅のヘビ
1037	史跡	モヘンジョ・ダロ	3	インダス文明の大都市遺跡。非常によく整備された街並みを持ち、下水道すら完備されている。「死の丘」などと呼ばれるのは、全体に人骨が散在するためである。		5	6	473	古代文明の大都市	2015-01-27 02:09:17	561:古代文明の大都市
1038	史跡	ヤシ油製造場跡	3	儀式に使用されていたヤシ油を製造するための場所。石の台の上で作られたヤシ油は、使用しないときもこの場所に保管される。		7	7	490	誘いの甘い香り<br><br>発見時経験値490　発見物カード経験値245	2016-07-05 09:45:41	2271:誘いの甘い香り
1039	史跡	ラガシュ	3	古代メソポタミアにおいて栄えた、シュメール人の都市の一つ。隣国・ウンマの王であるルガルザゲシの征服によって衰退した。		6	6	510	ウルに並ぶ都市国家	2015-01-27 02:09:17	3380:ウルに並ぶ都市国家
1040	史跡	ランス・オ・メドー	5	新大陸北部、テラ・ノヴァにある史跡。北欧のヴァイキングが移住した場所と考えられている。いくつかの建物が良い状態で残っておりこれらは作業場として使われたと考えられている。		10	14	1270	悪夢を醒ます夢	2015-01-27 02:09:17	3191:悪夢を醒ます夢
1041	史跡	リューリクの墓	5	『原初年代記』によると、リューリクはロシア帝国の基盤となる最初の国家を建設したという。元はヴァイキングであったようだ。彼は死ぬまで人々の指導者として、国家を統治したらしい。		7	10	1100	ロシアの始まり	2015-01-27 02:09:17	3655:ロシアの始まり
1042	史跡	レプティス・マグナの遺跡	1	ローマのセプティミウス・セウェルス帝が建造した大都市の遺構。大理石をふんだんに使った施設跡が並び、当時の興隆が見えるようだ。		2	1	105	古代ローマの都市跡	2015-01-27 02:09:17	553:古代ローマの都市跡
2620	史跡	ロードス騎士団の城塞都市	3	本拠地を奪われた聖ヨハネ騎士団がロードス島に築いた要塞都市。<br>街全体を囲む高さ12mの城壁は、全長4kmに及び、敵国の攻撃を幾度となく撃退したという。		6	8	540	ロードス島を再調査<br><br>発見時経験値540　発見物カード経験値270	2016-07-29 09:13:04	4984:ロードス島を再調査
2689	史跡	ヴィッラ・アドリアーナ	3	イタリアのティヴォリにある、ハドリアヌス帝が建造した別荘。皇帝がローマ帝国の巡察にでかけ、各地で魅了されたものを再現した建築物がいくつも存在している。		3				2015-09-13 11:27:23	5226:皇帝の別荘
1043	史跡	ヴェルギナ遺跡	4	古代マケドニアの都・アイガイがあったとされる遺跡。マケドニア王のものと考えられる古墳がある。		4	7	612	見果てぬ夢	2015-01-27 02:09:17	478:見果てぬ夢
1046	史跡	安土城	5	五層七階の天守を備えた日本の城郭。その壮麗な姿は、築城主の勢威を物語る。<br>火災が起こって以来、天守は使用されていない。		10	12	1120	覇業の残光	2015-01-27 02:09:17	2359:覇業の残光
1047	史跡	巨人のテーブル	5	バレン高原に存在する古代史跡。新石器時代に建てられた墓だと思われる。この巨大な岩を、どのように運んだのだろうか…。		5	9	820	巨人の積み上げた石<br><br>発見時経験値820　発見物カード経験値410	2016-08-29 23:15:03	3295:巨人の積み上げた石
1055	史跡	金庚信の墓	3	新羅の将軍・金庚信の墓。<br>金庚信は花郎の出身で武烈王から厚い信頼を得た。新羅の三国統一に多大な功績を残したものの、統一目前で没し、ここに葬られた。		8	7	540	花郎の将軍	2015-01-27 02:09:17	2737:花郎の将軍
1050	史跡	景福宮	4	朝鮮王朝の王宮として建築された、豪華な宮殿。<br>宮の名前は、王とその子孫、国民みんなが太平盛大の福を享受するように、祈りを込めて付けられたという。		5	7	620	漢陽の宮殿	2015-01-27 02:09:17	2738:漢陽の宮殿
1045	史跡	古代の闘技場	4	古代の球技「トラチトリ」が行われていたと思われる球場。<br>他のマヤ文明の遺跡でも球場は見られるが、コパンのものは最大級であることから、当時の勢力の大きさが窺える。		8	9	720	広場にある斜面<br><br>発見時経験値720　発見物カード経験値360	2016-05-03 20:32:25	2300:広場にある斜面
1053	史跡	紅毛城	5	イスパニア人が築城した赤い城。鄭成功が台湾島を平定してからは廃屋となっている。<br>華やかな外観だが、地下からは異様な雰囲気が漂ってくる…。		10	12	1120	中断された依頼	2015-01-27 02:09:17	2508:中断された依頼
